"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"60.889.128/0001-80";20680;"BANCO SOFISA SA"
"60.942.638/0001-73";1422;"BANCO SUDAMERIS BRASIL SA"
"00.086.413/0001-30";1015;"BANCO ÚNICO S.A."
"61.024.352/0001-71";20885;"BANCO VOITER S.A."
"63.081.004/0001-61";7994;"BANCOCIDADE LEASING ARR MERC SA"
"01.210.645/0001-11";15628;"BANEB LEASING SA ARREND MERC"
"62.527.346/0001-08";12017;"BANESTADO LEASING SA ARR MERC"
"76.550.748/0001-20";1457;"BANESTADO SA CRED FIN E INV"
"39.813.605/0001-37";15245;"BANESTES LEASING SA ARR MERC"
"28.127.603/0001-78";1155;"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO"
"33.550.104/0001-29";8176;"BANEX S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"07.216.674/0001-77";1376;"BANFORT-BANCO FORTALEZA S.A."
"92.791.813/0001-65";8990;"BANKAMERICA COMERCIAL E PARTICIPAÇÕES S. A."
"01.377.222/0001-90";16500;"BANKBOSTON COMPANHIA HIPOTECÁRIA"
"11.558.657/0001-95";1465;"BANORTE BANCO INVEST SA"
"10.781.524/0001-10";1481;"BANORTE CRED FIN E INVEST SA"
"10.925.675/0001-03";1490;"BANORTE CRED IMOBILIARIO SA"
"34.260.158/0001-12";14001;"BANORTE LEASING ARRENDAMENTO MERCANTIL SA EM LIQUIDAÇÃO EXTRAJUDICIAL"
"92.721.232/0001-57";15822;"BANRISUL ARMAZENS GERAIS SA"
"92.934.215/0001-06";24554;"BANRISUL CARTÕES S.A."
"92.692.979/0001-24";15130;"BANRISUL S.A.  ADMINISTRADORA DE CONSÓRCIOS"
"61.578.159/0001-82";1503;"BANYLSA TECELAGEM DO BRASIL SA"
"10.809.341/0001-66";12033;"BAPTISTA DA SILVA PARTICIPAÇÕES E PROJETOS SA"
"49.033.814/0001-11";1511;"BARBER GREENE BRASIL INDUSTRIA E COMERCIO SA"
"60.851.615/0001-53";1520;"BARDELLA S.A. INDS MECANICAS - EM RECUPERAÇÃO JUDICIAL"
"10.608.405/0001-60";21920;"BARI SECURITIZADORA S.A."
"15.125.339/0001-91";11894;"BARRETTO ARAUJO PROD CACAU SA"
"35.082.277/0001-95";24970;"BASE SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"09.462.140/0001-56";21601;"BASEL PARTICIPAÇÕES S/A"
"48.539.407/0001-18";1538;"BASF BRAS SA INDS QUIMICAS"
"61.064.937/0001-15";1546;"BATES SA"
"61.374.161/0001-30";1562;"BAUMER SA"
"17.344.597/0001-94";23159;"BB SEGURIDADE PARTICIPAÇÕES S.A."
"31.546.476/0001-56";13935;"BB-LEASING SA ARRENDAMENTO MERCANTIL"
"13.004.577/0001-13";892;"BBC ADM E PARTICIPAÇÃO-EM LIQUIDAÇÃO ORDINÁRIA"
"37.623.907/0001-17";14800;"BBC LEASING ARREND MERCANTIL-EM LIQUIDAÇÃO ORDINÁRIA"
"01.107.327/0001-20";24660;"BBM LOGÍSTICA S.A."
"00.162.760/0001-03";14842;"BBV LEASING BRASIL SA ARR MERC"
"19.276.528/0001-16";24775;"BCBF PARTICIPAÇÕES S.A."
"60.885.100/0001-74";809;"BCO AUXILIAR SA"
"76.484.575/0001-99";817;"BCO BAMERINDUS INVS SA"
"60.885.092/0001-66";884;"BCO BRADESCO INVESTIMENTO SA"
"33.132.044/0001-24";2380;"BCO CEDULA SA"
"13.007.703/0001-93";973;"BCO CREDIPLAN SA"
"61.100.046/0001-77";990;"BCO INV AMERICA SUL SA"
"17.180.399/0001-32";1295;"BCO MAISONNAVE DE INV SA"
"33.222.241/0001-34";1341;"BCO NACIONAL INVS SA"
"61.391.090/0001-83";1414;"BCO SAVENA SA"
"87.125.019/0001-42";1430;"BCO SUL BRASILEIRO SA"
"40.432.544/0001-47";18600;"BCP S/A"
"92.691.328/0001-10";965;"BCR BCO CREDITO REAL SA"
"01.608.571/0001-76";16233;"BELAPART SA"
"14.200.618/0001-00";22632;"BELEZA PARTICIPAÇÕES SA"
"28.564.391/0001-96";13480;"BELPRATO SA"
"82.373.077/0001-71";20656;"BEMATECH  S/A"
"09.042.817/0001-05";25500;"BEMOBI MOBILE TECH S.A."
"61.288.916/0001-83";1635;"BENZENEX SA ADUBOS E INSET"
"09.400.937/0001-29";21563;"BERNA PARTICIPAÇÕES SA"
"00.510.570/0001-21";15040;"BESC SA ARRENDAMENTO MERCANTIL"
"04.381.091/0001-03";1660;"BETA SA INDUSTRIA E COMERCIO"
"07.021.459/0001-10";19747;"BETA SECURITIZADORA S/A"
"02.762.124/0001-30";17884;"BETAPART PARTICIPAÇÕES SA"
"60.627.346/0001-46";1678;"BETUMARCO SA ENGENHARIA INDUSTRIA COMERCIO"
"43.425.008/0001-02";6203;"BFB LEASING S.A. ARRENDAMENTO MERCANTIL"
"43.425.008/0001-02";14052;"BFB LEASING S.A. ARRENDAMENTO MERCANTIL"
"25.635.129/0001-05";8796;"BFC BANCO SA"
"04.987.555/0001-20";19500;"BGPAR SA"
"08.723.106/0001-25";20907;"BHG S.A. - BRAZIL HOSPITALITY GROUP"
"07.112.325/0001-05";19704;"BI CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS"
"56.992.423/0001-90";1694;"BICICLETAS MONARK SA"
"16.921.603/0001-66";1708;"BIOBRAS SA"
"04.752.991/0001-10";19305;"BIOMM SA"
"04.069.709/0001-02";25925;"BIONEXO S.A."
"15.527.906/0001-36";22845;"BIOSEV S.A."
