"DT_REFER";"CD_CVM";"DENOM_CIA";"COLUNA_DF";"VL_CONTA"
2010;21350;"DIRECIONAL ENGENHARIA S.A.";"Patrimônio Líquido";793477
2010;19739;"LOCALIZA RENT A CAR S.A.";"Patrimônio Líquido";898742
2010;2453;"CIA ENERGETICA DE MINAS GERAIS - CEMIG";"Patrimônio Líquido";11476133
2010;5983;"FIACAO TEC SAO JOSE S.A.";"Patrimônio Líquido";-94052
2010;9954;"ALFA HOLDINGS S.A.";"Patrimônio Líquido";604963
2010;1325;"BCO MERCANTIL DO BRASIL S.A.";"Patrimônio Líquido";582221
2010;4707;"CONSORCIO ALFA DE ADMINISTRACAO S.A.";"Patrimônio Líquido";697770
2010;3077;"CIA FIACAO TECIDOS CEDRO CACHOEIRA";"Patrimônio Líquido";284074
2010;19445;"CIA SANEAMENTO DE MINAS GERAIS-COPASA MG";"Patrimônio Líquido";4222185
2010;14028;"VALE FERTILIZANTES S.A.";"Patrimônio Líquido";3545598
2010;3395;"CIA INDUSTRIAL CATAGUASES";"Patrimônio Líquido";138259
2010;4081;"CIA TECIDOS SANTANENSE";"Patrimônio Líquido";201972
2010;22373;"ELETROSOM S/A";"Patrimônio Líquido";89601
2010;20621;"FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL";"Patrimônio Líquido";409721
2010;3158;"CIA TECIDOS NORTE DE MINAS COTEMINAS";"Patrimônio Líquido";1490967
2010;14133;"TEC TOY S.A.";"Patrimônio Líquido";11586
2010;15300;"RUMO MALHA NORTE S.A.";"Patrimônio Líquido";772847
2010;11800;"WEMBLEY SOCIEDADE ANÔNIMA";"Patrimônio Líquido";422640
2010;2062;"CAFE SOLUVEL BRASILIA SA";"Patrimônio Líquido";-1736535
2010;1155;"BANESTES S.A. - BCO EST ESPIRITO SANTO";"Patrimônio Líquido";803499
2010;20958;"BCO ABC BRASIL S.A.";"Patrimônio Líquido";1385801
2010;12866;"INDÚSTRIA VEROLME S.A. - IVESA";"Patrimônio Líquido";-209305
2010;13781;"SAO CARLOS EMPREEND E PARTICIPACOES S.A.";"Patrimônio Líquido";668320
2010;21121;"SUL AMERICA S.A.";"Patrimônio Líquido";2891857
2010;21377;"BANCO INDUSTRIAL DO BRASIL";"Patrimônio Líquido";401722
2010;14010;"PREDILETO ALIMENTOS SA";"Patrimônio Líquido";72152
2010;21202;"VIX LOGÍSTICA S/A";"Patrimônio Líquido";157249301
2010;11320;"TELEMAR NORTE LESTE SA";"Patrimônio Líquido";14690189
2010;9512;"PETROLEO BRASILEIRO S.A. PETROBRAS";"Patrimônio Líquido";306765182
2010;4057;"SOUZA CRUZ SA";"Patrimônio Líquido";2095542
2010;8087;"LOJAS AMERICANAS S.A.";"Patrimônio Líquido";452672
2010;7811;"JOAO FORTES ENGENHARIA S.A. - EM RECUPERAÇÃO JUDICIAL";"Patrimônio Líquido";319607
2010;6505;"VIA VAREJO S.A.";"Patrimônio Líquido";2544609
2010;4030;"CIA SIDERURGICA NACIONAL";"Patrimônio Líquido";7632760
2010;8893;"MONTEIRO ARANHA S.A.";"Patrimônio Líquido";1036815
2010;20028;"VALID SOLUÇÕES S.A.";"Patrimônio Líquido";455050
2010;10596;"SERGEN SERVS GERAIS DE ENG SA";"Patrimônio Líquido";145548197
2010;6700;"HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL";"Patrimônio Líquido";-41609
2010;11070;"WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.";"Patrimônio Líquido";435714
2010;18465;"ULTRAPAR PARTICIPACOES S.A.";"Patrimônio Líquido";5153330
2010;10880;"SONDOTECNICA ENGENHARIA SOLOS S.A.";"Patrimônio Líquido";63994
2010;9989;"REFINARIA DE PETROLEOS MANGUINHOS S.A.";"Patrimônio Líquido";-225387
